name,status,family1,family2,family3
Ghotuo,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Alumu-Tesu,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Ari,severely endangered,Suki-Gogodala,Gogodalic,Ari-Waruna
Amal,definitely endangered,Sepik,-,-
Arbëreshë Albanian,vulnerable,Indo-European,Albanian,Albanian-Tosk
Aranadan,definitely endangered,Dravidian,South Dravidian,South Dravidian I
Ambrak,safe,Nuclear Torricelli,Nuclear Palai,Yangum-Ambrak
Abu' Arapesh,definitely endangered,Nuclear Torricelli,Kombio-Arapesh-Urat,Arapesh
Arifama-Miniafia,definitely endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Ankave,safe,Angan,Nuclear Angan,Ankave-Tainae-Akoye
Afade,vulnerable,Afro-Asiatic,Chadic,Biu-Mandara
Anambé,extinct,Tupian,Maweti-Guarani,Aweti-Guarani
Algerian Saharan Arabic,safe,Afro-Asiatic,Semitic,West Semitic
Pará Arára,vulnerable,Cariban,Pekodian,Xinguan
Eastern Abenaki,extinct,Algic,Algonquian,Eastern Algonquian
Afar,safe,Afro-Asiatic,Cushitic,East Cushitic
Aasax,extinct,Afro-Asiatic,Cushitic,South Cushitic
Arvanitika Albanian,vulnerable,Indo-European,Albanian,Albanian-Tosk
Abau,definitely endangered,Sepik,-,-
Solong,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Mandobo Atas,safe,Nuclear Trans New Guinea,Asmat-Awyu-Ok,Awyu-Ok
Amarasi,vulnerable,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Abé,safe,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
Bankon,vulnerable,Atlantic-Congo,Volta-Congo,Benue-Congo
Ambala Ayta,safe,Austronesian,Malayo-Polynesian,Central Luzon
Camarines Norte Agta,vulnerable,Austronesian,Malayo-Polynesian,Greater Central Philippine
Western Abenaki,critically endangered,Algic,Algonquian,Eastern Algonquian
Abai Sungai,definitely endangered,Austronesian,Malayo-Polynesian,North Borneo Malayo-Polynesian
Abaga,critically endangered,Nuclear Trans New Guinea,Kainantu-Goroka,Goroka
Tajiki Arabic,definitely endangered,Afro-Asiatic,Semitic,West Semitic
Abidji,safe,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
Aka-Bea,extinct,Great Andamanese,Middle-South Andamanese,South Great Andamanese
Abkhazian,vulnerable,Abkhaz-Adyge,Abkhaz-Abaza,-
Lampung Nyo,safe,Austronesian,Malayo-Polynesian,Lampungic
Abanyom,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Abua,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Abon,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Abenlen Ayta,definitely endangered,Austronesian,Malayo-Polynesian,Central Luzon
Abaza,vulnerable,Abkhaz-Adyge,Abkhaz-Abaza,-
Abron,safe,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
Ambonese Malay,safe,Austronesian,Malayo-Polynesian,Malayo-Sumbawan
Ambulas,vulnerable,Ndu,Nuclear Ndu,Ambulas-Hanga-Hundi
Abure,safe,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
Baharna Arabic,safe,Afro-Asiatic,Semitic,West Semitic
Pal,safe,Nuclear Trans New Guinea,Madang,Croisilles
Inabaknon,safe,Austronesian,Malayo-Polynesian,Basap-Greater Barito
Aneme Wake,safe,Yareban,Doriri-Abia,-
Abui,definitely endangered,Timor-Alor-Pantar,Alor-Pantar,Alor
Achagua,definitely endangered,Arawakan,Northern Maipuran,Inland Northern Maipuran
Áncá,safe,Unattested,-,-
Gikyode,safe,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
Achinese,vulnerable,Austronesian,Malayo-Polynesian,Malayo-Sumbawan
Saint Lucian Creole French,safe,Indo-European,Italic,Latino-Faliscan
Acoli,safe,Nilotic,Western Nilotic,Luo-Burun
Aka-Cari,extinct,Great Andamanese,North Andamanese-Akakede,Northern Great Andamanese
Aka-Kora,extinct,Great Andamanese,North Andamanese-Akakede,Northern Great Andamanese
Akar-Bale,extinct,Great Andamanese,Middle-South Andamanese,South Great Andamanese
Gilit Mesopotamian Arabic,safe,Afro-Asiatic,Semitic,West Semitic
Longchuan Achang,definitely endangered,Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese
Eastern Acipa,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Ta'izzi-Adeni Arabic,safe,Afro-Asiatic,Semitic,West Semitic
Achi,vulnerable,Mayan,Core Mayan,Quichean-Mamean
Acroá,extinct,Nuclear-Macro-Je,Je,Je Central
Achterhoeks,vulnerable,Indo-European,Germanic,Northwest Germanic
Achuar-Shiwiar,definitely endangered,Chicham,Shuaric,-
Achumawi,critically endangered,Palaihnihan,-,-
Hijazi Arabic,safe,Afro-Asiatic,Semitic,West Semitic
Omani Arabic,safe,Afro-Asiatic,Semitic,West Semitic
Cypriot Arabic,definitely endangered,Afro-Asiatic,Semitic,West Semitic
Acheron,vulnerable,Narrow Talodi,Buram-Saraf,Acheron-Tocho
Adangme,safe,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
Dzodinka,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Adele,safe,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
Dhofari Arabic,safe,Afro-Asiatic,Semitic,West Semitic
Andegerebinha,critically endangered,Pama-Nyungan,Arandic-Thura-Yura,Arandic
Adhola,safe,Nilotic,Western Nilotic,Luo-Burun
Bori-Karko,safe,Sino-Tibetan,Macro-Tani,Tani
Adioukrou,safe,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
Galo,vulnerable,Sino-Tibetan,Macro-Tani,Tani
Adang,definitely endangered,Timor-Alor-Pantar,Alor-Pantar,Alor
Abu,definitely endangered,Lower Sepik-Ramu,Agoan,-
Adangbe,vulnerable,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
Adonara,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Adamorobe Sign Language,definitely endangered,Sign Language,Village Sign Language,-
Adnyamathanha,definitely endangered,Pama-Nyungan,Arandic-Thura-Yura,Thura-Yura
Amundava,vulnerable,Tupian,Maweti-Guarani,Aweti-Guarani
Amdo Tibetan,safe,Sino-Tibetan,Bodic,Bodish
Adyghe,vulnerable,Abkhaz-Adyge,Circassian,-
Adzera,vulnerable,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Areba,critically endangered,Pama-Nyungan,Paman,Norman Pama
Tunisian Arabic,safe,Afro-Asiatic,Semitic,West Semitic
Saidi Arabic,safe,Afro-Asiatic,Semitic,West Semitic
Argentine Sign Language,safe,Sign Language,Deaf Sign Language,-
Northeast Pashayi,vulnerable,Indo-European,Indo-Iranian,Indo-Aryan
Haeke,severely endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Ambele,vulnerable,Atlantic-Congo,Volta-Congo,Benue-Congo
Arem,critically endangered,Austroasiatic,Vietic,Chutic
Armenian Sign Language,safe,Sign Language,Deaf Sign Language,-
Aer,definitely endangered,Indo-European,Indo-Iranian,Indo-Aryan
Eastern Arrernte,definitely endangered,Pama-Nyungan,Arandic-Thura-Yura,Arandic
Ambakich,definitely endangered,Lower Sepik-Ramu,-,-
Amele,vulnerable,Nuclear Trans New Guinea,Madang,Croisilles
Aeka,safe,Nuclear Trans New Guinea,Greater Binanderean,Binanderean
Gulf Arabic,safe,Afro-Asiatic,Semitic,West Semitic
Andai,definitely endangered,Arafundi,-,-
Putukwam,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Chini,severely endangered,Lower Sepik-Ramu,Ramu,Tamolan
Nanubae,definitely endangered,Arafundi,-,-
Defaka,severely endangered,Ijoid,-,-
Eloyi,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Tapei,definitely endangered,Arafundi,-,-
Afrikaans,safe,Indo-European,Germanic,Northwest Germanic
Afro-Seminole Creole,severely endangered,Indo-European,Germanic,Northwest Germanic
Afitti,definitely endangered,Nyimang,-,-
Awutu,definitely endangered,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
Obokuitai,definitely endangered,Lakes Plain,Tariku,East Tariku
Aguano,extinct,Unattested,Arawakan (Unattested),-
Legbo,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Agatu,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Agarabi,safe,Nuclear Trans New Guinea,Kainantu-Goroka,Kainantu
Angal,safe,Nuclear Trans New Guinea,Enga-Kewa-Huli,Kewa-Huli
Arguni,definitely endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Angor,definitely endangered,Senagi,-,-
Ngelima,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Agariya,safe,Unattested,Dravidian (Unattested),-
Argobba,vulnerable,Afro-Asiatic,Semitic,West Semitic
Isarog Agta,critically endangered,Austronesian,Malayo-Polynesian,Greater Central Philippine
Fembe,definitely endangered,East Strickland,-,-
Angaataha,safe,Angan,-,-
Agutaynen,safe,Austronesian,Malayo-Polynesian,Kalamian
Tainae,safe,Angan,Nuclear Angan,Ankave-Tainae-Akoye
Aghem,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Aguaruna,vulnerable,Chicham,-,-
Esimbi,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Central Cagayan Agta,definitely endangered,Austronesian,Malayo-Polynesian,Northern Luzon
Aguacateco,vulnerable,Mayan,Core Mayan,Quichean-Mamean
Remontado Agta,severely endangered,Austronesian,Malayo-Polynesian,Central Luzon
Kahua,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Aghul,definitely endangered,Nakh-Daghestanian,Daghestanian,Lezgic
Southern Alta,definitely endangered,Austronesian,Malayo-Polynesian,Northern Luzon
Mt. Iriga Agta,safe,Austronesian,Malayo-Polynesian,Greater Central Philippine
Ahanta,safe,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
Axamb,definitely endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Qimant,definitely endangered,Afro-Asiatic,Cushitic,Agaw
Aghu,vulnerable,Nuclear Trans New Guinea,Asmat-Awyu-Ok,Awyu-Ok
Tiagbamrin Aizi,safe,Atlantic-Congo,Volta-Congo,Kru
Akha,safe,Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese
Igo,definitely endangered,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
Mobumrin Aizi,safe,Atlantic-Congo,Volta-Congo,Kru
Àhàn,definitely endangered,Atlantic-Congo,Volta-Congo,Benue-Congo
Ahom,extinct,Tai-Kadai,Kam-Tai,Be-Tai
Aproumu Aizi,safe,Atlantic-Congo,Volta-Congo,Unclassified Volta-Congo
Ashe,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Ahtena,critically endangered,Athabaskan-Eyak-Tlingit,Athabaskan-Eyak,Athabaskan
Arosi,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Ainu (China),definitely endangered,Turkic,Common Turkic,Central Siberian Turkic
Ainbai,definitely endangered,Border,Bewani,Pagi-Kilmeri
Alngith,critically endangered,Pama-Nyungan,Paman,Northern Pama
Amara,definitely endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Agi,definitely endangered,Nuclear Torricelli,West Palai,Agi-Yeri
Antigua and Barbuda Creole English,safe,Indo-European,Germanic,Northwest Germanic
Ai-Cham,vulnerable,Tai-Kadai,Kam-Tai,Kam-Sui
Assyrian Neo-Aramaic,vulnerable,Afro-Asiatic,Semitic,West Semitic
Lishanid Noshan,severely endangered,Afro-Asiatic,Semitic,West Semitic
Ake,vulnerable,Atlantic-Congo,Volta-Congo,Benue-Congo
Aimele,definitely endangered,Bosavi,Bosavi Watershed,-
Aimol,definitely endangered,Sino-Tibetan,Kuki-Chin-Naga,Kuki-Chin
Hokkaido Ainu,critically endangered,Ainu,Hokkaido-Kuril Ainu,-
Aiton,definitely endangered,Tai-Kadai,Kam-Tai,Be-Tai
Burumakok,severely endangered,Nuclear Trans New Guinea,Asmat-Awyu-Ok,Awyu-Ok
Aimaq,safe,Indo-European,Indo-Iranian,Iranian
Airoran,safe,Greater Kwerba,Kwerba-Samarokena,Samarokena-Airoran
Northern Amis,definitely endangered,Austronesian,East Formosan,Central East Formosan
Arikem,extinct,Tupian,Arikemic,-
Aari,safe,South Omotic,AHK,Aari-Gayil
Aighon,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Ali,safe,Atlantic-Congo,Volta-Congo,North Volta-Congo
Aja (Sudan),definitely endangered,Kresh-Aja,-,-
Aja (Benin),safe,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
Ajië,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
South Levantine Arabic,safe,Afro-Asiatic,Semitic,West Semitic
Judeo-Tunisian Arabic,safe,Afro-Asiatic,Semitic,West Semitic
Judeo-Moroccan Arabic,safe,Afro-Asiatic,Semitic,West Semitic
Ajawa,extinct,Afro-Asiatic,Chadic,West Chadic
Amri Karbi,safe,Sino-Tibetan,Kuki-Chin-Naga,Naga
Akan,safe,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
Batak Angkola,vulnerable,Austronesian,Malayo-Polynesian,Northwest Sumatra-Barrier Islands
Mpur,definitely endangered,Unknown,-,-
Ukpet-Ehom,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Akawaio,vulnerable,Cariban,Venezuelan Cariban,Pemong-Panare
Akpa,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Anakalangu,vulnerable,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Angal Heneng,safe,Nuclear Trans New Guinea,Enga-Kewa-Huli,Kewa-Huli
Aiome,definitely endangered,Lower Sepik-Ramu,Ramu,Annaberg
Aka-Jeru,critically endangered,Great Andamanese,North Andamanese-Akakede,Northern Great Andamanese
Aklanon,safe,Austronesian,Malayo-Polynesian,Greater Central Philippine
Aka-Bo,extinct,Great Andamanese,North Andamanese-Akakede,Northern Great Andamanese
Akurio,extinct,Cariban,Guianan,Taranoan
Siwu,safe,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
Ak,severely endangered,Sepik,Yellow River,-
Araki,critically endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Akaselem,safe,Atlantic-Congo,Volta-Congo,North Volta-Congo
Akolet,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Akum,definitely endangered,Atlantic-Congo,Volta-Congo,Benue-Congo
Akhvakh,definitely endangered,Nakh-Daghestanian,Daghestanian,Avar-Andic-Tsezic
Akwa,vulnerable,Atlantic-Congo,Volta-Congo,Benue-Congo
Aka-Kede,extinct,Great Andamanese,North Andamanese-Akakede,-
Aka-Kol,extinct,Great Andamanese,Middle-South Andamanese,Middle Great Andamanese
Alabama,definitely endangered,Muskogean,Alabaman-Koasati,-
Alago,vulnerable,Atlantic-Congo,Volta-Congo,Benue-Congo
Qawasqar,critically endangered,Kawesqar,North Central Alacufan,-
Alladian,safe,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
Aleut,definitely endangered,Eskimo-Aleut,-,-
Alege,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Alawa,critically endangered,Mangarrayi-Maran,Maran,-
Amaimon,safe,Nuclear Trans New Guinea,Madang,Croisilles
Alangan,safe,Austronesian,Malayo-Polynesian,North Mangyan
Alak,safe,Austroasiatic,Bahnaric,-
Amblong,definitely endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Gheg Albanian,severely endangered,Indo-European,Albanian,-
Larike-Wakasihu,vulnerable,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Alune,vulnerable,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Algonquin,vulnerable,Algic,Algonquian,Eastern Great Lakes Algonquian
Alutor,severely endangered,Chukotko-Kamchatkan,Chukotian,-
Northern Tosk Albanian,safe,Indo-European,Albanian,Albanian-Tosk
Southern Altai,definitely endangered,Turkic,Common Turkic,Kipchak
'Are'are,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Alaba-K'abeena,safe,Afro-Asiatic,Cushitic,East Cushitic
Mol,definitely endangered,Nuclear Torricelli,Nuclear Palai,Bragat-Aruop-Amol
Alyawarr,vulnerable,Pama-Nyungan,Arandic-Thura-Yura,Arandic
Alur,safe,Nilotic,Western Nilotic,Luo-Burun
Amanayé,extinct,Tupian,Maweti-Guarani,Aweti-Guarani
Ambo,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Amahuaca,severely endangered,Pano-Tacanan,Panoan,Mainline Pano
Yanesha',definitely endangered,Arawakan,Western Maipuran,-
Hamer-Banna,vulnerable,South Omotic,AHK,Hamer-Karo
Amurdak,critically endangered,Iwaidjan Proper,-,-
Amharic,safe,Afro-Asiatic,Semitic,West Semitic
Amis,vulnerable,Austronesian,East Formosan,Central East Formosan
Amdang,definitely endangered,Furan,-,-
Ambai,vulnerable,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
War-Jaintia,safe,Austroasiatic,Khasi-Palaung,Khasian
Ama (Papua New Guinea),vulnerable,Left May,Western Left May,-
Amanab,definitely endangered,Border,Warisic,-
Amo,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Alamblak,definitely endangered,Sepik,Sepik Hill,Eastern Sepik Hill
Amahai,critically endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Amarakaeri,definitely endangered,Harakmbut,-,-
Southern Amami-Oshima,definitely endangered,Japonic,Ryukyuan,Northern Ryukyuan
Amto,definitely endangered,Amto-Musan,-,-
Guerrero Amuzgo,vulnerable,Otomanguean,Eastern Otomanguean,Amuzgo-Mixtecan
Ambelau,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Western Neo-Aramaic,definitely endangered,Afro-Asiatic,Semitic,West Semitic
Anmatyerre,definitely endangered,Pama-Nyungan,Arandic-Thura-Yura,Arandic
Ami,critically endangered,Western Daly,Maranunggu-Ame-Manda,Ame-Manda
Atampaya,critically endangered,Pama-Nyungan,Paman,Northern Pama
Andaqui,extinct,Unknown,-,-
Andoa,extinct,Zaparoan,Iquito-Arabela,Arabela-Andoa
Ngas,safe,Afro-Asiatic,Chadic,West Chadic
Ansus,vulnerable,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Xârâcùù,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Animere,severely endangered,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
Nend,safe,Nuclear Trans New Guinea,Madang,Kalamic-South Adelbert
Andi,vulnerable,Nakh-Daghestanian,Daghestanian,Avar-Andic-Tsezic
Anor,definitely endangered,Lower Sepik-Ramu,Ramu,Annaberg
Goemai,vulnerable,Afro-Asiatic,Chadic,West Chadic
Anu,vulnerable,Sino-Tibetan,Mruic,-
Anal,definitely endangered,Sino-Tibetan,Kuki-Chin-Naga,Kuki-Chin
Obolo,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Andoque,definitely endangered,Unknown,-,-
Angika,vulnerable,Indo-European,Indo-Iranian,Indo-Aryan
Jarawa (India),vulnerable,Jarawa-Onge,-,-
Andh,vulnerable,Indo-European,Indo-Iranian,Indo-Aryan
Anserma,extinct,Chocoan,Unclassified Chocoan,-
Antakarinya,severely endangered,Pama-Nyungan,Desert Nyungic,Wati
Anuak,safe,Nilotic,Western Nilotic,Luo-Burun
Denya,vulnerable,Atlantic-Congo,Volta-Congo,Benue-Congo
Anaang,vulnerable,Atlantic-Congo,Volta-Congo,Benue-Congo
Andra-Hus,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Anyin,safe,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
Anem,definitely endangered,Unknown,-,-
Angolar,safe,Indo-European,Italic,Latino-Faliscan
Abom,critically endangered,Anim,Tirio,-
Pemon,vulnerable,Cariban,Venezuelan Cariban,Pemong-Panare
Andarum,definitely endangered,Lower Sepik-Ramu,Ramu,Ataitan
Angal Enen,safe,Nuclear Trans New Guinea,Enga-Kewa-Huli,Kewa-Huli
Bragat,definitely endangered,Nuclear Torricelli,Nuclear Palai,Bragat-Aruop-Amol
Angoram,definitely endangered,Lower Sepik-Ramu,Lower Sepik,-
Arma,extinct,Unattested,Chocoan (Unattested),-
Anindilyakwa,definitely endangered,Gunwinyguan,Gunwinyguan Bak,Wubuy-Anindilyakwa
Mufian,vulnerable,Nuclear Torricelli,Kombio-Arapesh-Urat,Arapesh
Arhö,severely endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Alorese,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Ömie,safe,Koiarian,Baraic,-
Bumbita Arapesh,definitely endangered,Nuclear Torricelli,Kombio-Arapesh-Urat,Arapesh
Aore,extinct,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Taikat,definitely endangered,Border,Taikat-Awyi,-
Atong (India),definitely endangered,Sino-Tibetan,Brahmaputran,Bodo-Garo
A'ou,critically endangered,Tai-Kadai,Kadaic,Southwestern Kra
Atorada,severely endangered,Arawakan,Northern Maipuran,Negro-Roraima
Uab Meto,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Sa'a,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
North Levantine Arabic,safe,Afro-Asiatic,Semitic,West Semitic
Sudanese Arabic,safe,Afro-Asiatic,Semitic,West Semitic
Bukiyip,definitely endangered,Nuclear Torricelli,Kombio-Arapesh-Urat,Arapesh
Ampanang,safe,Austronesian,Malayo-Polynesian,Basap-Greater Barito
Athpariya,definitely endangered,Sino-Tibetan,Himalayish,Mahakiranti
Apiaká,extinct,Tupian,Maweti-Guarani,Aweti-Guarani
Jicarilla Apache,definitely endangered,Athabaskan-Eyak-Tlingit,Athabaskan-Eyak,Athabaskan
Kiowa Apache,extinct,Athabaskan-Eyak-Tlingit,Athabaskan-Eyak,Athabaskan
Lipan Apache,extinct,Athabaskan-Eyak-Tlingit,Athabaskan-Eyak,Athabaskan
Mescalero-Chiricahua Apache,definitely endangered,Athabaskan-Eyak-Tlingit,Athabaskan-Eyak,Athabaskan
Apinayé,definitely endangered,Nuclear-Macro-Je,Je,Je Setentrional
Apalik,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Apma,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
A-Pucikwar,extinct,Great Andamanese,Middle-South Andamanese,Middle Great Andamanese
Arop-Lokep,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Arop-Sissano,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Apatani,vulnerable,Sino-Tibetan,Macro-Tani,Tani
Apurinã,definitely endangered,Arawakan,Southern Maipuran,Purus
Western Apache,definitely endangered,Athabaskan-Eyak-Tlingit,Athabaskan-Eyak,Athabaskan
Aputai,definitely endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Apalaí,definitely endangered,Cariban,-,-
Safeyoka,safe,Angan,Nuclear Angan,Wojokesic
Archi,definitely endangered,Nakh-Daghestanian,Daghestanian,Lezgic
Ampari Dogon,definitely endangered,Dogon,West Dogon,-
Arigidi,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Atohwaim,safe,Kayagaric,-,-
Northern Alta,definitely endangered,Austronesian,Malayo-Polynesian,Northern Luzon
Arhâ,severely endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Akuntsu,critically endangered,Tupian,Tuparic,Nuclear Tuparic
Standard Arabic,safe,Afro-Asiatic,Semitic,West Semitic
Arabana,extinct,Pama-Nyungan,Karnic,Palku
Western Arrarnta,definitely endangered,Pama-Nyungan,Arandic-Thura-Yura,Arandic
Aragonese,definitely endangered,Indo-European,Italic,Latino-Faliscan
Arhuaco,vulnerable,Chibchan,Core Chibchan,Magdalenic
Arikara,critically endangered,Caddoan,Northern Caddoan,Pawnee-Kitsai
Arapaso,extinct,Tucanoan,Unclassified Tucanoan,-
Arikapú,critically endangered,Nuclear-Macro-Je,Jabuti,-
Arabela,critically endangered,Zaparoan,Iquito-Arabela,Arabela-Andoa
Mapudungun,definitely endangered,Araucanian,-,-
Araona,definitely endangered,Pano-Tacanan,Tacanan,Takanik-Chamik
Arapaho,severely endangered,Algic,Algonquian,Arapahoic
Algerian Arabic,safe,Afro-Asiatic,Semitic,West Semitic
Karo (Brazil),definitely endangered,Tupian,Purubora-Ramarama,Ramarama
Najdi Arabic,safe,Afro-Asiatic,Semitic,West Semitic
Arbore,definitely endangered,Afro-Asiatic,Cushitic,East Cushitic
Lokono,severely endangered,Arawakan,Northern Maipuran,Caribbean Arawakan
Aruá (Rondonia State),critically endangered,Tupian,Monde,Gavianic
Moroccan Arabic,safe,Afro-Asiatic,Semitic,West Semitic
Egyptian Arabic,safe,Afro-Asiatic,Semitic,West Semitic
Asu (Tanzania),safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Assiniboine,definitely endangered,Siouan,Core Siouan,Mississippi Valley
Casuarina Coast Asmat,safe,Nuclear Trans New Guinea,Asmat-Awyu-Ok,Asmat-Kamoro
Asas,safe,Nuclear Trans New Guinea,Madang,Rai Coast
American Sign Language,safe,Sign Language,Deaf Sign Language,LSFic
Australian Sign Language,definitely endangered,Sign Language,Deaf Sign Language,BSLic
Western-Kambari-Cishingini,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Aewa,extinct,Unknown,-,-
Buruwai,definitely endangered,Nuclear Trans New Guinea,Asmat-Awyu-Ok,Asmat-Kamoro
Nsari,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Ashkun,definitely endangered,Indo-European,Indo-Iranian,Nuristani
Asilulu,vulnerable,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Assamese,safe,Indo-European,Indo-Iranian,Indo-Aryan
Xingú Asuriní,definitely endangered,Tupian,Maweti-Guarani,Aweti-Guarani
Dano,safe,Nuclear Trans New Guinea,Kainantu-Goroka,Goroka
Algerian Sign Language,safe,Sign Language,Deaf Sign Language,LSFic
Austrian Sign Language,safe,Sign Language,Deaf Sign Language,LSFic
Asuri,definitely endangered,Austroasiatic,Mundaic,North Munda
Ipulo-Olulu,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Asturian-Leonese-Cantabrian,safe,Indo-European,Italic,Latino-Faliscan
Tocantins Asurini,definitely endangered,Tupian,Maweti-Guarani,Aweti-Guarani
Asoa,safe,Central Sudanic,Mangbetu-Asua,Mangbetuic
Australian Aborigines Sign Language,vulnerable,Sign Language,Auxiliary Sign Systems,-
Muratayak,safe,Nuclear Trans New Guinea,Finisterre-Huon,Finisterre-Saruwaged
Yaosakor Asmat,definitely endangered,Nuclear Trans New Guinea,Asmat-Awyu-Ok,Asmat-Kamoro
As,definitely endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Pele-Ata,definitely endangered,Unknown,-,-
Zaiwa,safe,Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese
Ata Manobo,safe,Austronesian,Malayo-Polynesian,Greater Central Philippine
Mand,critically endangered,Nuclear Trans New Guinea,Madang,Kalamic-South Adelbert
Ivbie North-Okpela-Arhe,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Attié,safe,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
