name,status,family1,family2,family3
Duriankere,severely endangered,Inanwatan,-,-
Dulbu,severely endangered,Atlantic-Congo,Volta-Congo,Benue-Congo
Duwai,safe,Afro-Asiatic,Chadic,West Chadic
Daba,vulnerable,Afro-Asiatic,Chadic,Biu-Mandara
Dabarre,safe,Afro-Asiatic,Cushitic,East Cushitic
Ben Tey Dogon,definitely endangered,Dogon,Nangan Dogon,-
Najamba-Kindige,vulnerable,Dogon,North Plateau Dogon,Yanda-Bondum-Tebul
Dungu,definitely endangered,Unattested,Atlantic-Congo (Unattested),-
Bankan Tey Dogon,definitely endangered,Dogon,Nangan Dogon,-
Dibiyaso,definitely endangered,Unknown,-,-
Deccan,safe,Indo-European,Indo-Iranian,Indo-Aryan
Negerhollands,extinct,Indo-European,Germanic,Northwest Germanic
Dongotono,vulnerable,Nilotic,Eastern Nilotic,Teso-Lotuxo-Maa
Doondo,vulnerable,Atlantic-Congo,Volta-Congo,Benue-Congo
Fataluku,safe,Timor-Alor-Pantar,East Timor-Bunaq,East Timor
Diodio,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Jaru,severely endangered,Pama-Nyungan,Desert Nyungic,Ngumpin-Yapa
Dendi (Benin),safe,Songhay,Eastern Songhay,Zarma-Kaado-Dendi
Tsez,definitely endangered,Nakh-Daghestanian,Daghestanian,Avar-Andic-Tsezic
Donno So Dogon,safe,Dogon,Escarpment Dogon,-
Dawera-Daweloor,definitely endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Dagik,safe,Narrow Talodi,Buram-Saraf,Buram Hill Chain
Dedua,safe,Nuclear Trans New Guinea,Finisterre-Huon,Huon
Dewoin,definitely endangered,Atlantic-Congo,Volta-Congo,Kru
Dezfuli-Shushtari,safe,Indo-European,Indo-Iranian,Iranian
Degema,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Dehwari,safe,Indo-European,Indo-Iranian,Iranian
Demisa,definitely endangered,Geelvink Bay,-,-
Dek,safe,Unattested,Atlantic-Congo (Unattested),-
Dem,definitely endangered,Unknown,-,-
Pidgin Delaware,extinct,Pidgin,Delware based,-
Dendi (Central African Republic),safe,Atlantic-Congo,Volta-Congo,North Volta-Congo
Deori,definitely endangered,Sino-Tibetan,Brahmaputran,Bodo-Garo
Desano,definitely endangered,Tucanoan,Eastern Tucanoan,Western Eastern Tucanoan
German,safe,Indo-European,Germanic,Northwest Germanic
Domung,safe,Nuclear Trans New Guinea,Finisterre-Huon,Finisterre-Saruwaged
Dengese,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Central Dagaare,safe,Atlantic-Congo,Volta-Congo,North Volta-Congo
Bunoge Dogon,definitely endangered,Dogon,West Dogon,-
Casiguran-Nagtipunan Agta,definitely endangered,Austronesian,Malayo-Polynesian,Northern Luzon
Dagaari Dioula,safe,Atlantic-Congo,Volta-Congo,North Volta-Congo
Degenan,safe,Nuclear Trans New Guinea,Finisterre-Huon,Finisterre-Saruwaged
Doga,definitely endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Dghwede,safe,Afro-Asiatic,Chadic,Biu-Mandara
Northern Dagara,safe,Atlantic-Congo,Volta-Congo,North Volta-Congo
Dagba,safe,Central Sudanic,Sara-Bongo-Bagirmi,SBB Occidental
Dongola,vulnerable,Nubian,West-Central Nubian,Central Nubian
Dagoman,extinct,Yangmanic,-,-
Dogri,safe,Indo-European,Indo-Iranian,Indo-Aryan
Dogrib,definitely endangered,Athabaskan-Eyak-Tlingit,Athabaskan-Eyak,Athabaskan
Dogoso,vulnerable,Atlantic-Congo,Volta-Congo,North Volta-Congo
Doghoro,safe,Nuclear Trans New Guinea,Greater Binanderean,Binanderean
Daga,safe,Dagan,-,-
Dhundari,safe,Indo-European,Indo-Iranian,Indo-Aryan
Dhangu,severely endangered,Pama-Nyungan,Yuulngu,Southern Yolngu
Dhimal,definitely endangered,Sino-Tibetan,Dhimalish,-
Dhalandji,critically endangered,Pama-Nyungan,South-West Pama-Nyungan,Pilbara
Zemba,vulnerable,Atlantic-Congo,Volta-Congo,Benue-Congo
Dhanki,safe,Indo-European,Indo-Iranian,Indo-Aryan
Dhodia-Kukna,safe,Indo-European,Indo-Iranian,Indo-Aryan
Dhargari,critically endangered,Pama-Nyungan,South-West Pama-Nyungan,Pilbara
Dhaiso,definitely endangered,Atlantic-Congo,Volta-Congo,Benue-Congo
Dhurga,extinct,Pama-Nyungan,Southeastern Pama-Nyungan,New South Wales Pama-Nyungan
Dehu,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Dhanwar (Nepal),definitely endangered,Indo-European,Indo-Iranian,Indo-Aryan
Alu-Sinagen,definitely endangered,Nuclear Torricelli,Galu-Alu,-
South Central Dinka,safe,Nilotic,Western Nilotic,Dinka-Nuer
Lakota Dida,safe,Atlantic-Congo,Volta-Congo,Kru
Didinga,safe,Surmic,South Surmic,Southwest Surmic
Dieri,severely endangered,Pama-Nyungan,Karnic,Central Karnic
Digo,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Tipai,severely endangered,Cochimi-Yuman,Yuman,General Yuman
Dimbong,definitely endangered,Atlantic-Congo,Volta-Congo,Benue-Congo
Dai,vulnerable,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Southwestern Dinka,safe,Nilotic,Western Nilotic,Dinka-Nuer
Dilling,definitely endangered,Nubian,West-Central Nubian,Central Nubian
Dime,definitely endangered,South Omotic,-,-
Dibo,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Northeastern Dinka,safe,Nilotic,Western Nilotic,Dinka-Nuer
Dimli,vulnerable,Indo-European,Indo-Iranian,Iranian
Dirim,vulnerable,Atlantic-Congo,Volta-Congo,Benue-Congo
Dimasa,safe,Sino-Tibetan,Brahmaputran,Bodo-Garo
Dirari,severely endangered,Pama-Nyungan,Karnic,Central Karnic
Diriku,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Dhivehi,safe,Indo-European,Indo-Iranian,Indo-Aryan
Northwestern Dinka,safe,Nilotic,Western Nilotic,Dinka-Nuer
Dixon Reef,severely endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Diuwe,definitely endangered,Nuclear Trans New Guinea,Asmat-Awyu-Ok,Asmat-Kamoro
Ding,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Djinba,severely endangered,Pama-Nyungan,Yuulngu,Western-Inland Yolngu
Dar Daju Daju,safe,Dajuic,Western Dajuic,-
Jaminjung-Ngaliwurru,definitely endangered,Mirndi,Yirram,-
Zarma-Kaado,safe,Songhay,Eastern Songhay,Zarma-Kaado-Dendi
Djangun,extinct,Pama-Nyungan,Yimidhirr-Yalanji-Yidinic,Yalandyic
Djinang,definitely endangered,Pama-Nyungan,Yuulngu,Western-Inland Yolngu
Djeebbana,definitely endangered,Maningrida,-,-
Aukan,safe,Indo-European,Germanic,Northwest Germanic
Djiwarli-Thiin,safe,Pama-Nyungan,South-West Pama-Nyungan,Pilbara
Jamsay Dogon,safe,Dogon,Plains Dogon,-
Jawoyn,critically endangered,Gunwinyguan,Western Gunwinyguan,-
Jangkang,safe,Austronesian,Malayo-Polynesian,Land Dayak
Djambarrpuyngu,definitely endangered,Pama-Nyungan,Yuulngu,Southern Yolngu
Kapriman,vulnerable,Sepik,Sepik Hill,Central Sepik Hill
Djawi,critically endangered,Nyulnyulan,Western Nyulnyulan,Bardic
Dakpakha,vulnerable,Sino-Tibetan,Bodic,Bodish
Dakka,definitely endangered,Austronesian,Malayo-Polynesian,South Sulawesi
Kuijau,vulnerable,Austronesian,Malayo-Polynesian,North Borneo Malayo-Polynesian
Southeastern Dinka,safe,Nilotic,Western Nilotic,Dinka-Nuer
Mazagway,safe,Afro-Asiatic,Chadic,Biu-Mandara
Dolgan,definitely endangered,Turkic,Common Turkic,North Siberian Turkic
Dahalik,definitely endangered,Afro-Asiatic,Semitic,West Semitic
Darlong,safe,Sino-Tibetan,Kuki-Chin-Naga,Kuki-Chin
Duma,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
